text,label,category,source_type,language
"BREAKING: Scientists confirm mobile phones cause brain tumors - WHO changing guidelines immediately",1,health,social_media,en
"ALERT: Massive Aadhaar database leak exposes all 140 crore Indians personal data",1,technology,social_media,en
"SHOCKING: Yamuna river water found to contain deadly bacteria 1000x above safe limits",1,disaster,social_media,en
"BREAKING: China deploying bioweapons along Indian border - whistleblower reveals classified docs",1,conspiracy,social_media,en
"EXPOSED: Popular cooking oil brands using recycled industrial chemicals in production",1,health,social_media,en
"URGENT: RBI to freeze all savings accounts above Rs 10 lakh next week - withdraw now",1,economic,social_media,en
"VIRAL: Man cures stage 4 cancer by eating only bitter gourd for 30 days - doctors amazed",1,health,social_media,en
"SHOCKING: IIT student discovers free energy device - government suppressing patent",1,technology,social_media,en
"BREAKING: All government hospitals running out of critical medicines - national crisis",1,health,social_media,en
"ALERT: New disease spreading through eggs imported from Thailand claims thousands",1,health,social_media,en
"EXPOSED: Telecom companies deliberately reducing internet speed to sell premium plans",1,technology,social_media,en
"URGENT: Train derailment in Odisha kills 500+ but government reporting only 50 deaths",1,disaster,social_media,en
"BREAKING: PM secretly transferred Rs 5 lakh crore to overseas bank accounts",1,politics,social_media,en
"VIRAL: Miracle prayer healed 1000 cancer patients at temple in Tamil Nadu",1,health,social_media,en
"Government introduces face recognition cameras to monitor all citizens 24/7 without consent",1,technology,social_media,en
"Indian Army using banned chemical weapons against civilians in northeast",1,politics,social_media,en
"Stock market will crash 80% next Monday - insider says sell everything now",1,economic,social_media,en
"All electricity will be cut off across India for 3 days for maintenance",1,conspiracy,social_media,en
"Ancient Indian scientists invented nuclear weapons 5000 years ago - hidden by British",1,conspiracy,social_media,en
"New study proves that mixing onion and honey cures all types of cancer",1,health,social_media,en
"WhatsApp forwarding limit suspended - government plans to read all private messages",1,technology,social_media,en
"Fake police officers stealing organs of homeless people in Delhi after drugging them",1,social,social_media,en
"Mysterious red rain falling in Kerala caused by alien spacecraft entering atmosphere",1,conspiracy,social_media,en
"Drinking hot water kills coronavirus - WHO secretly confirmed this",1,health,social_media,en
"New RBI note has GPS tracker to monitor black money holders",1,economic,social_media,en
"Modi government planning mandatory 2-child policy with forced sterilization",1,politics,social_media,en
"New education policy will make Sanskrit compulsory and remove English from all schools",1,social,social_media,en
"Chemical company dumping toxic waste in Ganga river with government approval",1,disaster,social_media,en
"This free government scheme gives Rs 5 lakh to every family - apply now",1,economic,social_media,en
"Military satellite spotted massive object heading toward Earth - impact in 30 days",1,disaster,social_media,en
"All SIM cards will be deactivated unless you re-register by this Sunday",1,technology,social_media,en
"NSA and CIA funding anti-India protests through NGOs in Mumbai and Delhi",1,conspiracy,social_media,en
"Eating raw garlic every morning eliminates all viruses and bacteria from body",1,health,social_media,en
"Government employee steals 10 crore in pension funds - no arrest because of political protection",1,politics,social_media,en
"New WhatsApp update will automatically share all your photos with Facebook servers",1,technology,social_media,en
"Swami Ramdev's new medicine cures diabetes permanently in 7 days without side effects",1,health,social_media,en
"BJP winning all elections because of rigged EVMs - leaked engineer confession",1,politics,social_media,en
"Pakistan ISI agents arrested from JNU campus with weapons and IED components",1,politics,social_media,en
"India is secretly building nuclear missiles near China border - satellite images reveal",1,politics,social_media,en
"Entire Delhi water supply contaminated with pharmaceutical drugs causing side effects",1,disaster,social_media,en
"New law allows police to arrest anyone for insulting government on social media",1,politics,social_media,en
"Rohingya immigrants secretly given voter IDs in Bengal to help opposition win",1,social,social_media,en
"Asteroid 2x size of Moon approaching Earth - NASA hiding truth from public",1,disaster,social_media,en
"Indian government secretly testing mind control drugs in COVID vaccines",1,health,social_media,en
"All Paytm and GPay transactions now subject to 28% GST starting next month",1,economic,social_media,en
"Secret meeting between opposition leaders and China confirmed by intelligence agency",1,politics,social_media,en
"New Aadhaar rule requires finger scan every 6 months or card becomes invalid",1,technology,social_media,en
"Entire UPSC exam paper has been leaked - top coaching centers selling answers",1,social,social_media,en
"Foreign missionaries forcefully converting tribal children in Chhattisgarh jungles",1,religious,social_media,en
"2000 rupee note contains hidden microchip to track your location at all times",1,economic,social_media,en
"Zomato and Swiggy delivery workers adding drugs to food to create addiction",1,health,social_media,en
"Scientists discover HIV cure but pharmaceutical industry blocking global release",1,health,social_media,en
"Government planning to ban all opposition parties before 2029 elections",1,politics,social_media,en
"Farmer suicide rate increases 400% after Modi government's agricultural reforms",1,economic,social_media,en
"China has already occupied 3000 sq km of Indian territory - army hiding truth",1,politics,social_media,en
"NASA confirms India will experience 15 days of darkness next month due to solar eclipse",1,disaster,social_media,en
"Meditation and yoga can completely replace insulin for diabetic patients say experts",1,health,social_media,en
"Akshay Kumar and Salman Khan exposed for funding anti-national activities in secret recordings",1,social,social_media,en
"EXCLUSIVE: Supreme Court judges receiving monthly payments from Adani Group",1,politics,social_media,en
"New AADHAR seeding required for pension or account frozen - share immediately",1,economic,social_media,en
"Govt hospital doctor reveals vaccine ingredients include aborted fetal cells and animal blood",1,health,social_media,en
"Petrol price will drop to Rs 40 per litre when opposition wins - ONGC insider confirms",1,economic,social_media,en
"Ancient Vedic texts contain cures for AIDS, cancer, and all modern diseases",1,health,social_media,en
"Solar panel dealers cheating customers with panels that work for 3 months only",1,technology,social_media,en
"Terror group has planted 500 bombs in metro stations across major Indian cities",1,conspiracy,social_media,en
"Magnetic therapy reverses aging and cures arthritis permanently - doctors hiding this",1,health,social_media,en
"All private schools will be nationalized under new government order by 2026",1,social,social_media,en
"Government seizing land of farmers who supported opposition party protests",1,politics,social_media,en
"Indian Air Force jets shot down by Pakistan during recent ceasefire - blacked out by media",1,politics,social_media,en
"New cooking gas connection will cost Rs 15000 per year under revised subsidy rules",1,economic,social_media,en
"Mysterious deaths occurring near 5G towers officially covered up by health ministry",1,health,social_media,en
"Political prisoner being tortured in central jail - video smuggled out to activists",1,politics,social_media,en
"Russia offering free visas and Rs 10 lakh to Indians who fight in Ukraine war",1,conspiracy,social_media,en
"App installed by Income Tax department can access your phone gallery and contacts",1,technology,social_media,en
"Bihar CM caught receiving bribe in new sting operation - arrested then released in 2 hours",1,politics,social_media,en
"Scientists develop AI that reads your dreams and can predict your death date",1,technology,social_media,en
"Insurance companies run by criminal networks refusing legitimate claims of 50 lakh patients",1,economic,social_media,en
"UPSC merit list replaced with reservation list - 90% seats given on caste basis",1,social,social_media,en
"Former army officer reveals India was on brink of nuclear war with Pakistan in 2021",1,politics,social_media,en
"Curfew imposed in 12 districts of UP due to religious violence - army deployed",1,religious,social_media,en
"India has zero gold in RBI vaults - all gold replaced with tungsten bars",1,economic,social_media,en
"New amendment removes article 370 replacement - Kashmiris to get extra voting rights",1,politics,social_media,en
"WhatsApp message about free 4G to 5G upgrade by registering number is FAKE",0,technology,news,en
"Andhra Pradesh CM announces new industrial investment worth Rs 2 lakh crore",0,economic,news,en
"AIIMS team develops new blood test for early detection of Alzheimer's disease",0,health,news,en
"Supreme Court dismisses petition challenging reservation norms in government jobs",0,politics,news,en
"India beats England by 8 wickets in third ODI at Edgbaston cricket ground",0,social,news,en
"New education policy requires vocational training in schools from Class 9 onwards",0,social,news,en
"Government launches portal for farmers to register for PM-KISAN direct benefit transfer",0,economic,news,en
"NCERT revises history curriculum after expert committee recommendations",0,social,news,en
"Power ministry announces 24-hour electricity supply to all villages by 2026",0,economic,news,en
"Union Cabinet approves new manufacturing scheme for electronics sector",0,economic,news,en
"Indian Air Force inducts fourth squadron of Rafale jets at Hasimara airbase",0,politics,news,en
"IT ministry releases annual report on digital India progress and connectivity",0,technology,news,en
"Indian diaspora in UK raises Rs 50 crore for flood relief in Odisha",0,social,news,en
"University Grants Commission releases norms for new higher education institutions",0,social,news,en
"Central government launches skill training program for returned migrant workers",0,economic,news,en
"National Disaster Management Authority holds simulation exercise in coastal areas",0,disaster,news,en
"High Court rules in favor of farmers in land acquisition dispute in Maharashtra",0,politics,news,en
"India's population stabilizes as per new census projections by 2031",0,social,news,en
"Pension fund assets grow to Rs 21 lakh crore under NPS scheme reports PFRDA",0,economic,news,en
"ISRO's Aditya L1 solar observatory sends first images of solar corona",0,technology,news,en
"Himachal Pradesh faces crop damage from unseasonal snowfall in higher altitudes",0,disaster,news,en
"New Ayushman Bharat hospitals registered in Jammu and Kashmir to expand coverage",0,health,news,en
"Indian tennis player enters semi-finals at French Open for first time in decade",0,social,news,en
"North-east states get broadband connectivity under BharatNet second phase rollout",0,technology,news,en
"Chennai port handles record cargo volume of 100 million tonnes in fiscal year",0,economic,news,en
"Government grants Rs 1000 crore for flood management infrastructure in Assam",0,disaster,news,en
"New committee formed to implement Supreme Court order on forest rights protection",0,politics,news,en
"India's renewable energy capacity crosses 175 GW milestone ahead of 2022 target",0,technology,news,en
"UPI transaction volume reaches record 10 billion monthly payments in December",0,economic,news,en
"New metro corridor opens in Nagpur reducing point-to-point commute time",0,social,news,en
"Ministry launches campaign to prevent child marriage in Rajasthan and Bihar",0,social,news,en
"State bank announces reduction in home loan interest rates by 25 basis points",0,economic,news,en
"India and UAE sign trade partnership covering investment and technology transfer",0,politics,news,en
"New Ayurveda research center to open at BHU for standardizing traditional medicines",0,health,news,en
"National testing agency announces schedule for JEE Main examination 2026",0,social,news,en
"Indian Railways earns record Rs 2.4 lakh crore revenue in current fiscal year",0,economic,news,en
"Biodiversity survey documents 200 new species in northeastern forests of India",0,disaster,news,en
"DRDO develops advanced armored vehicle for high altitude operations in Ladakh",0,technology,news,en
"Reserve Bank releases guidelines for fintech companies operating payment systems",0,economic,news,en
"India opens new consulate to support growing business ties with Australia",0,politics,news,en
"National Green Tribunal fines polluting industry Rs 500 crore for river damage",0,disaster,news,en
"Free cataract surgery camp organized for 5000 senior citizens in rural Odisha",0,health,news,en
"Telangana launches digital land record system to reduce property disputes",0,social,news,en
"India becomes member of international fusion energy research consortium ITER",0,technology,news,en
"Government extends PM Awas Yojana allocation by 10 lakh houses for urban poor",0,social,news,en
"Fact check: Viral claim about government banning private vehicles is completely false",0,technology,news,en
"Boom Live verifies image from 2019 flood is being falsely shared as recent event",0,disaster,news,en
"PIB fact check debunks message about new rule requiring monthly Aadhaar verification",0,technology,news,en
"Alt News investigates: Manipulated audio clip falsely attributed to senior politician",0,politics,news,en
"WebQoof confirms old election speech clip taken out of context to misrepresent views",0,politics,news,en
"Research paper published in Lancet shows new drug reduces heart attack risk by 30%",0,health,news,en
"Water harvesting initiative improves groundwater levels in drought-prone Marathwada",0,disaster,news,en
"State government reports 90% reduction in open defecation under Swachh Bharat scheme",0,social,news,en
"Opposition leader says government statistics on poverty reduction are misleading",0,politics,news,en
"India's space debris mitigation policy to go to UN Committee on Peaceful Uses of Space",0,technology,news,en
"Rapid antigen test for new dengue variant to be distributed free across health centers",0,health,news,en
"Road transport ministry releases new rules for heavy vehicle overtaking on highways",0,social,news,en
"India and Germany sign MoU for cooperation in green hydrogen technology",0,technology,news,en
"New Lokpal bench set up to fast track corruption complaints from citizens",0,politics,news,en
"Consumer Price Index shows 4.2% inflation within RBI's target range for third month",0,economic,news,en
"IASt and MIT researchers jointly develop cheap solar-powered water desalination unit",0,technology,news,en
"Income Tax department issues refunds to 2 crore assessees totaling Rs 1.5 lakh crore",0,economic,news,en
"Wildlife institute report shows tiger population grows to 3682 in latest census",0,disaster,news,en
"Government launches scheme providing free sanitary napkins in rural government schools",0,health,news,en
"All-India Rural Job Guarantee scheme provides 300 crore person-days of employment",0,economic,news,en
"Kya aap dekh rahe hain - Modi ji ne Rs 15 lakh dena band kar diya - sach saamne aaya",1,politics,whatsapp,hinglish
"Ye video dekho - COVID vaccine lagvane se log mar rahe hain, media chupa raha hai!",1,health,whatsapp,hinglish
"Bhai log ye forward karo jaldi - Modi sarkar sab ka bank account band kar degi 15 tarikh ko",1,economic,whatsapp,hinglish
"Breaking khabar: Pakistan ne atom bomb gira diya Gujarat pe - sarkari news band hai",1,disaster,whatsapp,hinglish
"Dosto sunno - WhatsApp band ho raha hai India mein, backup lo aur Telegram shift ho jao",1,technology,whatsapp,hinglish
"Ek aur sach samne aaya - petrol ki asli cost Rs 15 hai, baaki Rs 85 pure tax hai",1,economic,whatsapp,hinglish
"Please please share karo - ye dawa cancer theek karti hai, doctors chupa rahe hain",1,health,whatsapp,hinglish
"Abhi share karo - Chinese application TikTok wapis aa raha hai, ye link download karo",1,technology,whatsapp,hinglish
"UP mein Hindu yatriyon pe attack hua - social media pe ban lagaya hai sarkaar ne",1,religious,whatsapp,hinglish
"Nirmala Sitharaman ka video dekho - unhone khud kaha hai RBI desh bech raha hai",1,economic,whatsapp,hinglish
"Jio tower se radiation nikal raha hai, baccho ko dur rakho - proved hai IIT ne",1,health,whatsapp,hinglish
"Aaj raat 12 baje se UPI kaam nahi karega - apna paisa nikalo abhi!",1,economic,whatsapp,hinglish
"Ye sach hai - cow urine se TB aur malaria bilkul theek hota hai - akbar mein chapa tha",1,health,whatsapp,hinglish
"Dost forward karo - 10 logo ko bhejo to Modi ji personally Rs 5000 bhej rahe hain",1,economic,whatsapp,hinglish
"Suniye - school mein Muslim teacher Hindu baccho ko namaz padhva raha hai",1,religious,whatsapp,hinglish
"Bhai dekho yaar - ye app install karo - petrol free mein milega sarkar ki taraf se",1,economic,whatsapp,hinglish
"Aaj subah se flood aa rahi hai Tamil Nadu mein - log ghar chod do abhi",1,disaster,whatsapp,hinglish
"Garib logo ko Rs 1000 per month milenge sarkar se - ye form bharo - ye sach hai!",1,economic,whatsapp,hinglish
"Pls share - kisi ka beta missing hai - ye photo dekho please",1,social,whatsapp,hinglish
"Sunno dosto - Rahul Gandhi Bharat ke khilaf kaam kar raha hai - ye toh Pappu hi hai",1,politics,whatsapp,hinglish
"Bhai corona nahi gaya abhi - new variant aaya hai jo zyada khatarnak hai - mask lagao",1,health,whatsapp,hinglish
"Ye sach hai - RBI 2000 ka note vapas le raha hai - bank mein jao aaj hi",1,economic,whatsapp,hinglish
"10 saal se band padha purana sabka paisa bank wapas de raha hai - jan dhan check karo",1,economic,whatsapp,hinglish
"Itna sach mat suno - UP Chief Minister ne Hindu rashtra ki ghoshna ki abhi abhi",1,religious,whatsapp,hinglish
"Saare doston ko batao - aaj raat curfew lagega 5 sheher mein - riots ki khabar hai",1,social,whatsapp,hinglish
"Kisi ne garibo ke liye free ration ka scheme banaya hai - ek mahine ka ration free",0,economic,news,hinglish
"Sarkaar ne school mein computer sikhane ka program shuru kiya hai - sab bacchon ke liye",0,social,news,hinglish
"PM Awas Yojana ke andar garib parivar ko free ghar milega - yahan apply karo",0,social,news,hinglish
"Health ministry ne bataya ki ye saal flu ke cases zyada hain - vaccination zaruri hai",0,health,news,hinglish
"RBI ne bank charges ke baare mein naya order nikala - customers ko rahat milegi",0,economic,news,hinglish
"Farmers claim government's MSP hike insufficient to cover rising cultivation costs",0,economic,news,en
"Parliamentary panel raises questions about defense procurement delays",0,politics,news,en
"Court stays construction near protected forest area in Uttarakhand",0,disaster,news,en
"Activists demand probe into displacement of tribal communities in mining zones",0,social,news,en
"Health workers report shortage of medicines in primary health centers in rural Bihar",0,health,news,en
"Opposition demands white paper on farmer suicides and debt waiver status",0,economic,news,en
"Protests against factory pollution continue in industrial area near Surat",0,disaster,news,en
"Student union demands rollback of fee hike in central universities",0,social,news,en
"Fact check panel flags misleading claims about new pension scheme benefits",0,economic,news,en
"Minority rights organization submits report on discrimination cases to commission",0,social,news,en
"Government statistics on toilet construction questioned by independent researchers",0,social,news,en
"City slum dwellers fear eviction as metro expansion project progresses",0,social,news,en
"Farmers protest outside collector's office demanding crop insurance settlements",0,economic,news,en
"Investigation by media house finds irregularities in mid-day meal scam in UP",0,social,news,en
"SC verdict on electoral bonds raises transparency concerns among civil society groups",0,politics,news,en
